"sz_name","sc_id","sc_name","alarm_info","point_name","point_id","alarm_table","phase_id"
"TSZ046-明阳-发电机绕组温度预警","500001","发电机绕组1过温(500001)","发电机U相绕组温度高","发电机U相绕组温度","WGEN.TemGenStaU","tsz046_my_gen_tem_fcst_result","qkaYJGfD"
"TSZ046-明阳-发电机绕组温度预警","500002","发电机绕组2过温(500002)","发电机V相绕组温度高","发电机V相绕组温度","WGEN.TemGenStaV","tsz046_my_gen_tem_fcst_result","qkaYJGfD"
"TSZ046-明阳-发电机绕组温度预警","500003","发电机绕组3过温(500003)","发电机W相绕组温度高","发电机W相绕组温度","WGEN.TemGenStaW","tsz046_my_gen_tem_fcst_result","qkaYJGfD"
"TSZ046-明阳-发电机绕组温度预警","500004","发电机绕组4过温(500004)","发电机绕组温度4高","发电机绕组温度4","EnOS_Turbine_MYWind_Doubly_Fed_hbjt2.0_JS_GYYQ_AI00043","tsz046_my_gen_tem_fcst_result","qkaYJGfD"
"TSZ046-明阳-发电机绕组温度预警","500005","发电机绕组5过温(500005)","发电机绕组温度5高","发电机绕组温度5","EnOS_Turbine_MYWind_Doubly_Fed_hbjt2.0_JS_GYYQ_AI00044","tsz046_my_gen_tem_fcst_result","qkaYJGfD"
"TSZ046-明阳-发电机绕组温度预警","500006","发电机绕组6过温(500006)","发电机绕组温度6高","发电机绕组温度6","EnOS_Turbine_MYWind_Doubly_Fed_hbjt2.0_JS_GYYQ_AI00045","tsz046_my_gen_tem_fcst_result","qkaYJGfD"
"TSZ046-明阳-发电机绕组温度预警","553","发电机W相定子温度较高（553）","发电机W相绕组温度高","发电机W相绕组温度","WGEN.TemGenStaW","tsz046_my_gen_tem_fcst_result","1a650d6564800000"
"TSZ046-明阳-发电机绕组温度预警","500001","发电机绕组1过温（500001）","发电机U相绕组温度高","发电机U相绕组温度","WGEN.TemGenStaU","tsz046_my_gen_tem_fcst_result","VNyTeDEw"
"TSZ046-明阳-发电机绕组温度预警","500002","发电机绕组2过温（500002）","发电机V相绕组温度高","发电机V相绕组温度","WGEN.TemGenStaV","tsz046_my_gen_tem_fcst_result","VNyTeDEw"
"TSZ046-明阳-发电机绕组温度预警","500003","发电机绕组3过温（500003）","发电机W相绕组温度高","发电机W相绕组温度","WGEN.TemGenStaW","tsz046_my_gen_tem_fcst_result","VNyTeDEw"
"TSZ046-明阳-发电机绕组温度预警","500004","发电机绕组4过温（500004）","发电机绕组温度4高","发电机绕组温度4","EnOS_Turbine_MYWind_Doubly_Fed_hbjt2.0_FN_KTLSQ_AI00178","tsz046_my_gen_tem_fcst_result","VNyTeDEw"
"TSZ046-明阳-发电机绕组温度预警","500005","发电机绕组5过温（500005）","发电机绕组温度5高","发电机绕组温度5","EnOS_Turbine_MYWind_Doubly_Fed_hbjt2.0_FN_KTLSQ_AI00179","tsz046_my_gen_tem_fcst_result","VNyTeDEw"
"TSZ046-明阳-发电机绕组温度预警","500006","发电机绕组6过温（500006）","发电机绕组温度6高","发电机绕组温度6","EnOS_Turbine_MYWind_Doubly_Fed_hbjt2.0_FN_KTLSQ_AI00180","tsz046_my_gen_tem_fcst_result","VNyTeDEw"
"TSZ046-明阳-发电机绕组温度预警","553","发电机W相定子温度较高（553）","发电机W相绕组温度高","发电机W相绕组温度","WGEN.TemGenStaW","tsz046_my_gen_tem_fcst_result","3Vymz9CG"
