"site_name","site_id","device_name","device_id","phase_name","phase_id","start_time","end_time","alarm_info","value_max"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-04-13 21:20:00","2024-04-13 23:50:00","发电机V相绕组温度高","139.1"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-23 03:40:00","2024-05-23 04:30:00","发电机V相绕组温度高","138.9"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-06-11 04:50:00","2024-06-11 05:40:00","发电机V相绕组温度高","138.9"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-05-29 00:50:00","2024-05-29 02:20:00","发电机V相绕组温度高","135.8"
"魁通沟风电场","1a650d6562800000","#070","1a67a9524e800000","魁通沟Ⅰ期","1a650d6564800000","2024-08-09 19:00:00","2024-08-09 19:30:00","发电机V相绕组温度高","138.2"
"魁通沟风电场","1a650d6562800000","#070","1a67a9524e800000","魁通沟Ⅰ期","1a650d6564800000","2024-09-13 00:00:00","2024-09-13 07:50:00","发电机V相绕组温度高","138.8"
"魁通沟风电场","1a650d6562800000","#074","1a67a95255000000","魁通沟Ⅰ期","1a650d6564800000","2024-04-25 15:50:00","2024-04-25 18:50:00","发电机V相绕组温度高","137.5"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-08-27 13:00:00","2024-08-27 17:40:00","发电机V相绕组温度高","137.5"
"魁通沟风电场","1a650d6562800000","#017","1a67a951f3802000","魁通沟Ⅰ期","1a650d6564800000","2024-04-25 14:20:00","2024-04-25 15:20:00","发电机V相绕组温度高","139.4"
"魁通沟风电场","1a650d6562800000","#027","1a67a95204000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-23 03:50:00","2024-05-23 04:10:00","发电机V相绕组温度高","135.0"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-04-25 13:30:00","2024-04-25 14:10:00","发电机V相绕组温度高","139.0"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-26 15:30:00","2024-05-26 21:20:00","发电机V相绕组温度高","139.4"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-30 10:40:00","2024-05-30 19:20:00","发电机V相绕组温度高","139.4"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-08-09 16:50:00","2024-08-09 19:10:00","发电机V相绕组温度高","139.6"
"魁通沟风电场","1a650d6562800000","#058","1a67a95239800000","魁通沟Ⅰ期","1a650d6564800000","2024-10-01 13:20:00","2024-10-01 21:30:00","发电机V相绕组温度高","146.7"
"魁通沟风电场","1a650d6562800000","#068","1a67a9524b000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-30 12:50:00","2024-05-30 13:40:00","发电机V相绕组温度高","138.9"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-05-20 22:20:00","2024-05-20 23:40:00","发电机V相绕组温度高","135.1"
"魁通沟风电场","1a650d6562800000","#070","1a67a9524e800000","魁通沟Ⅰ期","1a650d6564800000","2024-08-11 16:20:00","2024-08-11 16:50:00","发电机V相绕组温度高","138.0"
"望海风电场","HwQOuWzt","A09","QnOidfnp","望海风电场","3Vymz9CG","2024-03-22 00:40:00","2024-03-22 01:20:00","发电机V相绕组温度高","138.8"
"望海风电场","HwQOuWzt","A09","QnOidfnp","望海风电场","3Vymz9CG","2024-05-15 03:50:00","2024-05-15 04:10:00","发电机V相绕组温度高","138.1"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-07-27 06:50:00","2024-07-27 07:30:00","发电机V相绕组温度高","138.0"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-08-26 21:50:00","2024-08-26 22:10:00","发电机V相绕组温度高","137.1"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-09-21 10:10:00","2024-09-21 10:50:00","发电机V相绕组温度高","138.2"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-04-13 21:20:00","2024-04-13 23:50:00","发电机U相绕组温度高","138.9"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-23 03:40:00","2024-05-23 04:30:00","发电机U相绕组温度高","138.7"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-06-11 05:00:00","2024-06-11 05:40:00","发电机U相绕组温度高","138.6"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-05-29 00:40:00","2024-05-29 02:20:00","发电机U相绕组温度高","136.2"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-05-30 14:00:00","2024-05-30 14:20:00","发电机U相绕组温度高","135.6"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-08-09 18:00:00","2024-08-09 18:30:00","发电机U相绕组温度高","135.0"
"魁通沟风电场","1a650d6562800000","#070","1a67a9524e800000","魁通沟Ⅰ期","1a650d6564800000","2024-08-09 19:00:00","2024-08-09 19:30:00","发电机U相绕组温度高","138.2"
"魁通沟风电场","1a650d6562800000","#070","1a67a9524e800000","魁通沟Ⅰ期","1a650d6564800000","2024-09-13 00:00:00","2024-09-13 07:50:00","发电机U相绕组温度高","138.6"
"魁通沟风电场","1a650d6562800000","#074","1a67a95255000000","魁通沟Ⅰ期","1a650d6564800000","2024-04-25 15:50:00","2024-04-25 18:50:00","发电机U相绕组温度高","137.6"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-08-27 12:50:00","2024-08-27 17:40:00","发电机U相绕组温度高","137.9"
"魁通沟风电场","1a650d6562800000","#017","1a67a951f3802000","魁通沟Ⅰ期","1a650d6564800000","2024-04-25 14:20:00","2024-04-25 15:20:00","发电机U相绕组温度高","138.9"
"魁通沟风电场","1a650d6562800000","#027","1a67a95204000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-23 03:50:00","2024-05-23 04:10:00","发电机U相绕组温度高","135.0"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-04-25 13:30:00","2024-04-25 14:10:00","发电机U相绕组温度高","138.7"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-26 15:40:00","2024-05-26 21:20:00","发电机U相绕组温度高","139.1"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-30 10:50:00","2024-05-30 19:20:00","发电机U相绕组温度高","138.9"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-08-09 17:00:00","2024-08-09 19:10:00","发电机U相绕组温度高","139.2"
"魁通沟风电场","1a650d6562800000","#058","1a67a95239800000","魁通沟Ⅰ期","1a650d6564800000","2024-10-01 13:20:00","2024-10-01 21:20:00","发电机U相绕组温度高","146.1"
"魁通沟风电场","1a650d6562800000","#059","1a67a9523b802000","魁通沟Ⅰ期","1a650d6564800000","2024-04-25 16:50:00","2024-04-25 18:10:00","发电机U相绕组温度高","137.2"
"魁通沟风电场","1a650d6562800000","#068","1a67a9524b000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-30 12:50:00","2024-05-30 13:40:00","发电机U相绕组温度高","138.7"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-05-20 22:00:00","2024-05-20 23:40:00","发电机U相绕组温度高","135.5"
"魁通沟风电场","1a650d6562800000","#070","1a67a9524e800000","魁通沟Ⅰ期","1a650d6564800000","2024-08-11 16:20:00","2024-08-11 16:50:00","发电机U相绕组温度高","138.0"
"望海风电场","HwQOuWzt","A09","QnOidfnp","望海风电场","3Vymz9CG","2024-03-22 00:40:00","2024-03-22 01:20:00","发电机U相绕组温度高","138.8"
"望海风电场","HwQOuWzt","A09","QnOidfnp","望海风电场","3Vymz9CG","2024-05-15 03:50:00","2024-05-15 04:10:00","发电机U相绕组温度高","138.7"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-07-27 06:50:00","2024-07-27 07:30:00","发电机U相绕组温度高","138.3"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-08-26 21:50:00","2024-08-26 22:10:00","发电机U相绕组温度高","137.4"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-09-21 10:10:00","2024-09-21 10:50:00","发电机U相绕组温度高","138.3"
"望海风电场","HwQOuWzt","A07","rD4E4lNz","望海风电场","3Vymz9CG","2024-07-06 00:00:00","2024-07-06 02:30:00","发电机U相绕组温度高","136.1"
"魁通沟风电场","1a650d6562800000","#028","1a67a95206000000","魁通沟Ⅰ期","1a650d6564800000","2024-06-11 05:20:00","2024-06-11 06:00:00","发电机W相绕组温度高","139.4"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-04-13 21:20:00","2024-04-13 23:50:00","发电机W相绕组温度高","139.3"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-23 03:40:00","2024-05-23 04:30:00","发电机W相绕组温度高","139.1"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-06-11 04:50:00","2024-06-11 05:40:00","发电机W相绕组温度高","139.0"
"魁通沟风电场","1a650d6562800000","#068","1a67a9524b000000","魁通沟Ⅰ期","1a650d6564800000","2024-06-11 05:40:00","2024-06-11 06:30:00","发电机W相绕组温度高","135.7"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-04-13 21:20:00","2024-04-13 22:20:00","发电机W相绕组温度高","135.5"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-05-29 00:20:00","2024-05-29 02:30:00","发电机W相绕组温度高","137.0"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-05-30 13:30:00","2024-05-30 14:30:00","发电机W相绕组温度高","136.5"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-07-15 18:20:00","2024-07-15 19:00:00","发电机W相绕组温度高","136.0"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-08-09 14:50:00","2024-08-09 19:30:00","发电机W相绕组温度高","135.8"
"魁通沟风电场","1a650d6562800000","#070","1a67a9524e800000","魁通沟Ⅰ期","1a650d6564800000","2024-08-09 19:00:00","2024-08-09 19:30:00","发电机W相绕组温度高","138.9"
"魁通沟风电场","1a650d6562800000","#070","1a67a9524e800000","魁通沟Ⅰ期","1a650d6564800000","2024-09-13 00:00:00","2024-09-13 07:50:00","发电机W相绕组温度高","139.5"
"魁通沟风电场","1a650d6562800000","#074","1a67a95255000000","魁通沟Ⅰ期","1a650d6564800000","2024-04-25 15:50:00","2024-04-25 18:50:00","发电机W相绕组温度高","137.8"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-23 18:50:00","2024-07-23 19:40:00","发电机W相绕组温度高","136.0"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-24 20:20:00","2024-07-24 21:10:00","发电机W相绕组温度高","138.6"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-30 19:30:00","2024-07-30 20:00:00","发电机W相绕组温度高","137.8"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-31 16:30:00","2024-07-31 20:00:00","发电机W相绕组温度高","138.8"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-08-27 12:40:00","2024-08-27 17:40:00","发电机W相绕组温度高","138.7"
"魁通沟风电场","1a650d6562800000","#017","1a67a951f3802000","魁通沟Ⅰ期","1a650d6564800000","2024-04-25 14:20:00","2024-04-25 15:20:00","发电机W相绕组温度高","139.5"
"魁通沟风电场","1a650d6562800000","#027","1a67a95204000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-23 03:50:00","2024-05-23 04:10:00","发电机W相绕组温度高","135.1"
"魁通沟风电场","1a650d6562800000","#028","1a67a95206000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-13 20:50:00","2024-05-13 21:20:00","发电机W相绕组温度高","138.9"
"魁通沟风电场","1a650d6562800000","#028","1a67a95206000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-18 01:20:00","2024-05-18 02:20:00","发电机W相绕组温度高","138.2"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-04-14 00:10:00","2024-04-14 00:30:00","发电机W相绕组温度高","135.9"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-04-25 13:30:00","2024-04-25 14:10:00","发电机W相绕组温度高","139.1"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-26 15:20:00","2024-05-26 21:20:00","发电机W相绕组温度高","139.5"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-30 10:50:00","2024-05-30 19:20:00","发电机W相绕组温度高","139.4"
"魁通沟风电场","1a650d6562800000","#034","1a67a95210000000","魁通沟Ⅰ期","1a650d6564800000","2024-08-09 16:50:00","2024-08-09 19:10:00","发电机W相绕组温度高","139.5"
"魁通沟风电场","1a650d6562800000","#043","1a67a95221002000","魁通沟Ⅰ期","1a650d6564800000","2024-07-22 01:50:00","2024-07-22 02:20:00","发电机W相绕组温度高","135.1"
"魁通沟风电场","1a650d6562800000","#058","1a67a95239800000","魁通沟Ⅰ期","1a650d6564800000","2024-10-01 13:10:00","2024-10-01 21:30:00","发电机W相绕组温度高","149.2"
"魁通沟风电场","1a650d6562800000","#068","1a67a9524b000000","魁通沟Ⅰ期","1a650d6564800000","2024-05-30 12:50:00","2024-05-30 13:40:00","发电机W相绕组温度高","139.4"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-05-20 21:20:00","2024-05-20 23:50:00","发电机W相绕组温度高","136.3"
"魁通沟风电场","1a650d6562800000","#069","1a67a9524c800000","魁通沟Ⅰ期","1a650d6564800000","2024-07-22 00:30:00","2024-07-22 02:10:00","发电机W相绕组温度高","135.7"
"魁通沟风电场","1a650d6562800000","#070","1a67a9524e800000","魁通沟Ⅰ期","1a650d6564800000","2024-08-10 20:30:00","2024-08-10 22:50:00","发电机W相绕组温度高","135.7"
"魁通沟风电场","1a650d6562800000","#070","1a67a9524e800000","魁通沟Ⅰ期","1a650d6564800000","2024-08-11 16:10:00","2024-08-11 16:50:00","发电机W相绕组温度高","138.8"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-01-18 08:50:00","2024-01-18 09:30:00","发电机W相绕组温度高","139.0"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-01-20 02:00:00","2024-01-20 08:50:00","发电机W相绕组温度高","139.6"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-05 21:30:00","2024-07-05 22:30:00","发电机W相绕组温度高","139.2"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-26 20:40:00","2024-07-26 22:30:00","发电机W相绕组温度高","139.2"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-28 04:50:00","2024-07-28 06:50:00","发电机W相绕组温度高","139.3"
"望海风电场","HwQOuWzt","A09","QnOidfnp","望海风电场","3Vymz9CG","2024-03-22 00:40:00","2024-03-22 01:20:00","发电机W相绕组温度高","139.0"
"望海风电场","HwQOuWzt","A09","QnOidfnp","望海风电场","3Vymz9CG","2024-05-15 03:50:00","2024-05-15 04:10:00","发电机W相绕组温度高","138.2"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-07-27 06:40:00","2024-07-27 14:20:00","发电机W相绕组温度高","139.1"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-08-26 21:40:00","2024-08-26 22:20:00","发电机W相绕组温度高","138.1"
"望海风电场","HwQOuWzt","A17","RfliDEDI","望海风电场","3Vymz9CG","2024-09-21 10:00:00","2024-09-21 10:50:00","发电机W相绕组温度高","139.2"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-01-18 10:30:00","2024-01-18 20:10:00","发电机W相绕组温度异常","131.2"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-01-19 19:10:00","2024-01-19 23:50:00","发电机W相绕组温度异常","128.5"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-01-20 03:40:00","2024-01-20 23:50:00","发电机W相绕组温度异常","136.0"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-01-21 12:50:00","2024-01-21 22:50:00","发电机W相绕组温度异常","127.8"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-02 09:30:00","2024-07-02 19:10:00","发电机W相绕组温度异常","125.8"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-04 02:10:00","2024-07-04 13:40:00","发电机W相绕组温度异常","129.3"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-05 19:20:00","2024-07-05 23:50:00","发电机W相绕组温度异常","133.5"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-06 00:00:00","2024-07-06 03:40:00","发电机W相绕组温度异常","133.5"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-08 22:50:00","2024-07-08 23:50:00","发电机W相绕组温度异常","125.4"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-09 00:00:00","2024-07-09 14:50:00","发电机W相绕组温度异常","129.1"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-16 10:40:00","2024-07-16 23:50:00","发电机W相绕组温度异常","126.9"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-17 00:00:00","2024-07-17 20:00:00","发电机W相绕组温度异常","126.4"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-20 06:20:00","2024-07-20 10:50:00","发电机W相绕组温度异常","127.5"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-22 00:30:00","2024-07-22 23:20:00","发电机W相绕组温度异常","130.8"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-23 05:00:00","2024-07-23 20:30:00","发电机W相绕组温度异常","136.0"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-24 19:30:00","2024-07-24 23:50:00","发电机W相绕组温度异常","138.6"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-26 00:10:00","2024-07-26 23:50:00","发电机W相绕组温度异常","139.2"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-27 00:00:00","2024-07-27 20:10:00","发电机W相绕组温度异常","130.6"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-28 01:30:00","2024-07-28 23:50:00","发电机W相绕组温度异常","139.3"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-29 00:00:00","2024-07-29 23:50:00","发电机W相绕组温度异常","128.9"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-30 00:00:00","2024-07-30 20:50:00","发电机W相绕组温度异常","137.8"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-07-31 02:40:00","2024-07-31 23:20:00","发电机W相绕组温度异常","138.8"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-08-01 01:10:00","2024-08-01 02:00:00","发电机W相绕组温度异常","122.8"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-08-04 15:20:00","2024-08-04 18:50:00","发电机W相绕组温度异常","128.8"
"望海风电场","HwQOuWzt","A08","1c7neIrX","望海风电场","3Vymz9CG","2024-08-05 11:10:00","2024-08-05 12:00:00","发电机W相绕组温度异常","133.6"
