"device_name","device_id","site_name","site_id","phase_name","phase_id","start_time","end_time","alarm_info"
"A18","8MEOwhtM","望海风电场","HwQOuWzt","望海风电场","3Vymz9CG","2024-05-26 18:30:00","2024-05-26 21:20:00","3号桨电机温度不平衡"
"A18","8MEOwhtM","望海风电场","HwQOuWzt","望海风电场","3Vymz9CG","2024-07-02 04:50:00","2024-07-02 06:20:00","3号桨电机温度不平衡"
"A18","8MEOwhtM","望海风电场","HwQOuWzt","望海风电场","3Vymz9CG","2024-07-02 09:40:00","2024-07-02 13:20:00","3号桨电机温度不平衡"
"A18","8MEOwhtM","望海风电场","HwQOuWzt","望海风电场","3Vymz9CG","2024-07-04 07:40:00","2024-07-04 12:30:00","3号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-01 20:10:00","2024-11-01 22:20:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-02 02:10:00","2024-11-02 04:30:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-02 05:00:00","2024-11-02 08:00:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-02 14:20:00","2024-11-02 20:30:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-03 06:30:00","2024-11-03 13:00:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-03 17:40:00","2024-11-03 21:10:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-05 07:50:00","2024-11-05 11:50:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-05 12:10:00","2024-11-05 23:50:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-06 00:00:00","2024-11-06 01:30:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-06 16:00:00","2024-11-06 23:50:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-07 00:00:00","2024-11-07 13:50:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-07 14:20:00","2024-11-07 18:00:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-07 21:10:00","2024-11-07 23:50:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-08 00:00:00","2024-11-08 02:50:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-08 03:50:00","2024-11-08 23:50:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-09 00:00:00","2024-11-09 04:50:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-10 00:00:00","2024-11-10 04:40:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-10 05:00:00","2024-11-10 14:50:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-10 18:00:00","2024-11-10 23:50:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-11 00:00:00","2024-11-11 04:00:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-11 04:30:00","2024-11-11 21:20:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-12 00:20:00","2024-11-12 02:30:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-12 02:50:00","2024-11-12 23:50:00","1号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-13 00:00:00","2024-11-13 10:40:00","1号桨电机温度不平衡"
"#77","RCIO2NvE","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-11-26 06:00:00","2024-11-26 14:30:00","1号桨电机温度过高"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-12-05 19:20:00","2024-12-05 20:50:00","3号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-12-12 13:40:00","2024-12-12 16:40:00","2号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-12-13 04:30:00","2024-12-13 06:00:00","2号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-12-14 01:00:00","2024-12-14 04:40:00","2号桨电机温度不平衡"
"#81","NypQDxFT","昆头岭风电场","b7a5qrac","昆头岭Ⅲ期","VNyTeDEw","2024-12-16 06:50:00","2024-12-16 09:10:00","2号桨电机温度不平衡"
